MediaSource,CampaignID,Country,Cost
MediaSource1,19560305480,GA,"0,704485"
MediaSource1,19560305480,LK,"3,252459"
MediaSource1,19560305480,BO,"7,869443"
MediaSource1,19560305480,MN,"1,440844"
MediaSource1,19560305480,IE,"10,657957"
MediaSource1,19560305480,NA,"1,04915"
MediaSource1,19560308588,MW,"0,019852"
MediaSource1,19560308588,UG,"0,087423"
MediaSource1,19560308588,LR,"0,002918"
MediaSource1,19560305480,MQ,"3,942975"
MediaSource1,19560308588,NG,"3,190475"
MediaSource1,19560305480,LT,"22,337978"
MediaSource1,19560305480,TD,"0,19984"
MediaSource1,19560308588,KI,"0,030697"
MediaSource1,19560308588,CL,"77,387156"
MediaSource1,19560308588,GG,"0,04656"
MediaSource1,19560305480,ET,"0,618764"
MediaSource1,19560308588,MH,"2,470863"
MediaSource1,19560305480,VN,"109,432271"
MediaSource1,19560308588,BI,"0,005425"
MediaSource1,19560305480,RE,"5,008723"
MediaSource1,19560305480,VC,"0,278656"
MediaSource1,19560308588,FO,"0,229231"
MediaSource1,19560305480,AR,"96,937839"
MediaSource1,19560308588,ME,"0,715355"
MediaSource1,19560305480,WF,"0,00006"
MediaSource1,19560308588,CA,"17,274586"
MediaSource1,19560305480,SM,"0,055275"
MediaSource1,19560308588,HK,"46,639945"
MediaSource1,19560308588,ST,"0,010192"
MediaSource1,19560305480,CX,0
MediaSource1,19560305480,HR,"15,326871"
MediaSource1,19560308588,DE,"222,357814"
MediaSource1,19560305480,LY,"1,441771"
MediaSource1,19560305480,ZM,"0,301288"
MediaSource1,19560308588,HT,"0,101583"
MediaSource1,19560308588,TO,"0,00025"
MediaSource1,19560305480,SR,"0,453538"
MediaSource1,19560308588,GU,"1,299758"
MediaSource1,19560308588,QA,"0,718346"
MediaSource1,19560305480,AM,"4,754622"
MediaSource1,19560308588,MZ,"0,871316"
MediaSource1,19560305480,RW,"0,28279"
MediaSource1,19560305480,NL,"39,428045"
MediaSource1,19560305480,US,"220,289754"
MediaSource1,19560308588,AT,"35,76597"
MediaSource1,19560305480,MC,"0,119059"
MediaSource1,19560305480,FI,"8,21202"
MediaSource1,19560308588,VE,"1,293304"
MediaSource1,19560305480,BB,"0,713544"
MediaSource1,19560308588,NU,0
MediaSource1,19560305480,TV,"0,025888"
MediaSource1,19560308588,DZ,"1,056576"
MediaSource1,19560308588,SK,"14,609991"
MediaSource1,19560305480,CG,"0,531922"
MediaSource1,19560305480,GL,"1,014722"
MediaSource1,19560305480,SC,"0,794454"
MediaSource1,19560308588,CO,"21,46516"
MediaSource1,19560308588,GD,"0,15392"
MediaSource1,19560308588,MK,"0,458557"
MediaSource1,19560308588,,"0,556772"
MediaSource1,19560308588,BJ,"0,02204"
MediaSource1,19560305480,MR,"0,20405"
MediaSource1,19560308588,AE,"3,248378"
MediaSource1,19560308588,JO,"0,946143"
MediaSource1,19560305480,BS,"3,016015"
MediaSource1,19560305480,PL,"118,689187"
MediaSource1,19560308588,DK,"12,038025"
MediaSource1,19560305480,TG,"0,476828"
MediaSource1,19560305480,CV,"0,181709"
MediaSource1,19560308588,SZ,"0,000142"
MediaSource1,19560308588,MT,"2,243332"
MediaSource1,19560305480,EH,"0,092941"
MediaSource1,19560305480,DM,"0,09005"
MediaSource1,19560305480,CI,"2,109515"
MediaSource1,19560308588,SE,"23,322203"
MediaSource1,19560305480,PS,"1,212685"
